OrderID,OrderDate,DeliveryDate,CustomerName,ProductCategory,ProductName,Quantity,UnitPrice,PaymentMethod,OrderStatus,City,State,Region,TotalAmount
10001,2024-04-12,2024-01-07,Karan Malhotra,Home Appliances,Mobile,3,2335,Cash on Delivery,Returned,Hyderabad,Maharashtra,South,7005
10002,2024-06-28,2024-01-07,Rahul Mehta,Books,Laptop,3,41045,UPI,Returned,Bengaluru,Tamil Nadu,North,123135
10003,2024-04-02,2024-01-05,Rahul Mehta,Clothing,Headphones,5,17541,Net Banking,Returned,Hyderabad,Karnataka,South,87705
10004,2024-01-15,2024-01-12,Pooja Singh,Clothing,Face Cream,1,53275,Credit Card,Delivered,Chennai,Telangana,South,53275
10005,2024-04-16,2024-01-12,Sneha Kulkarni,Home Appliances,Face Cream,5,23454,Cash on Delivery,Cancelled,Mumbai,Maharashtra,North,117270
10006,2024-03-12,2024-01-10,Neha Patil,Electronics,Novel,4,25925,Debit Card,Delivered,Mumbai,Tamil Nadu,North,103700
10007,2024-01-21,2024-01-08,Priya Nair,Beauty,Novel,5,45250,Credit Card,Cancelled,Bengaluru,Maharashtra,South,226250
10008,2024-04-12,2024-01-12,Rahul Mehta,Books,Laptop,2,56696,Net Banking,Delivered,Mumbai,Karnataka,South,113392
10009,2024-05-01,2024-01-09,Neha Patil,Clothing,Laptop,5,13631,UPI,In Transit,Chennai,Delhi,South,68155
10010,2024-03-15,2024-01-12,Amit Sharma,Electronics,Novel,3,64227,Credit Card,In Transit,Chennai,Tamil Nadu,West,192681
10011,2024-03-28,2024-01-07,Suresh Iyer,Home Appliances,Shirt,4,63314,Credit Card,Returned,Chennai,Maharashtra,West,253256
10012,2024-04-26,2024-01-05,Sneha Kulkarni,Clothing,Shirt,2,39646,Cash on Delivery,In Transit,Pune,Maharashtra,East,79292
10013,2024-04-09,2024-01-09,Rohit Verma,Home Appliances,Headphones,5,70711,Debit Card,Returned,Chennai,Maharashtra,West,353555
10014,2024-04-13,2024-01-10,Neha Patil,Books,Mixer,4,54778,Debit Card,Cancelled,Chennai,Delhi,West,219112
10015,2024-05-31,2024-01-08,Amit Sharma,Beauty,Headphones,4,12554,UPI,In Transit,Pune,Maharashtra,North,50216
10016,2024-05-10,2024-01-10,Priya Nair,Clothing,Mixer,2,56034,Net Banking,Cancelled,Hyderabad,Telangana,East,112068
10017,2024-05-29,2024-01-07,Karan Malhotra,Clothing,Laptop,5,28921,UPI,Delivered,Delhi,Telangana,East,144605
10018,2024-02-22,2024-01-09,Rohit Verma,Books,Mobile,4,76741,Credit Card,Cancelled,Mumbai,Maharashtra,West,306964
10019,2024-01-02,2024-01-09,Karan Malhotra,Electronics,Headphones,4,46421,Credit Card,Delivered,Chennai,Telangana,North,185684
10020,2024-03-28,2024-01-09,Priya Nair,Beauty,Headphones,1,60497,Debit Card,Cancelled,Mumbai,Tamil Nadu,North,60497
10021,2024-06-06,2024-01-07,Amit Sharma,Clothing,Mixer,4,42731,Net Banking,Cancelled,Bengaluru,Telangana,East,170924
10022,2024-02-07,2024-01-07,Rahul Mehta,Beauty,Laptop,1,5137,Cash on Delivery,In Transit,Mumbai,Maharashtra,North,5137
10023,2024-05-09,2024-01-10,Karan Malhotra,Clothing,Laptop,5,71532,Net Banking,Cancelled,Hyderabad,Karnataka,South,357660
10024,2024-01-21,2024-01-06,Rohit Verma,Beauty,Face Cream,5,49294,Credit Card,In Transit,Pune,Tamil Nadu,West,246470
10025,2024-06-09,2024-01-10,Pooja Singh,Home Appliances,Mixer,5,79379,Cash on Delivery,In Transit,Mumbai,Delhi,South,396895
10026,2024-02-27,2024-01-08,Anjali Deshmukh,Clothing,Laptop,3,12915,Net Banking,Returned,Mumbai,Maharashtra,East,38745
10027,2024-01-22,2024-01-05,Neha Patil,Beauty,Novel,5,1766,Net Banking,Returned,Mumbai,Delhi,East,8830
10028,2024-03-29,2024-01-09,Rahul Mehta,Electronics,Shirt,4,31071,Cash on Delivery,Delivered,Delhi,Karnataka,North,124284
10029,2024-02-18,2024-01-06,Karan Malhotra,Home Appliances,Face Cream,2,66211,Credit Card,Cancelled,Delhi,Delhi,North,132422
10030,2024-02-28,2024-01-05,Suresh Iyer,Home Appliances,Novel,1,21046,Net Banking,Delivered,Bengaluru,Maharashtra,East,21046
10031,2024-06-18,2024-01-06,Neha Patil,Electronics,Mobile,3,61039,Cash on Delivery,Cancelled,Pune,Maharashtra,East,183117
10032,2024-01-15,2024-01-12,Pooja Singh,Beauty,Headphones,5,73669,Credit Card,Returned,Mumbai,Karnataka,South,368345
10033,2024-06-23,2024-01-12,Priya Nair,Books,Face Cream,5,2193,Cash on Delivery,Returned,Mumbai,Maharashtra,South,10965
10034,2024-02-20,2024-01-11,Anjali Deshmukh,Electronics,Mobile,2,30873,Cash on Delivery,Cancelled,Mumbai,Karnataka,North,61746
10035,2024-04-17,2024-01-12,Amit Sharma,Beauty,Headphones,2,41174,Net Banking,Cancelled,Mumbai,Karnataka,South,82348
10036,2024-02-24,2024-01-10,Pooja Singh,Electronics,Shirt,3,77662,Credit Card,Returned,Delhi,Maharashtra,North,232986
10037,2024-03-04,2024-01-12,Pooja Singh,Electronics,Laptop,1,33667,Net Banking,Returned,Hyderabad,Telangana,North,33667
10038,2024-05-10,2024-01-07,Priya Nair,Clothing,Novel,5,21499,UPI,Delivered,Hyderabad,Karnataka,West,107495
10039,2024-02-20,2024-01-09,Sneha Kulkarni,Beauty,Mixer,3,74628,UPI,Returned,Bengaluru,Maharashtra,North,223884
10040,2024-05-14,2024-01-10,Priya Nair,Books,Novel,4,58024,Credit Card,Cancelled,Chennai,Telangana,South,232096
10041,2024-01-21,2024-01-05,Sneha Kulkarni,Clothing,Shirt,4,36705,Cash on Delivery,Delivered,Pune,Karnataka,East,146820
10042,2024-03-13,2024-01-11,Sneha Kulkarni,Electronics,Mobile,3,16289,Net Banking,Cancelled,Hyderabad,Telangana,East,48867
10043,2024-06-15,2024-01-11,Rahul Mehta,Electronics,Mixer,5,29231,Net Banking,In Transit,Mumbai,Tamil Nadu,South,146155
10044,2024-01-18,2024-01-11,Rahul Mehta,Electronics,Laptop,3,9590,Credit Card,Delivered,Hyderabad,Tamil Nadu,East,28770
10045,2024-05-11,2024-01-05,Rohit Verma,Beauty,Shirt,5,38667,Credit Card,Cancelled,Bengaluru,Telangana,North,193335
10046,2024-03-29,2024-01-05,Karan Malhotra,Beauty,Mixer,2,79781,UPI,Returned,Chennai,Karnataka,East,159562
10047,2024-02-29,2024-01-05,Karan Malhotra,Clothing,Shirt,3,76598,Debit Card,In Transit,Hyderabad,Maharashtra,South,229794
10048,2024-01-14,2024-01-05,Amit Sharma,Books,Shirt,5,30433,Credit Card,Cancelled,Bengaluru,Delhi,East,152165
10049,2024-01-09,2024-01-11,Karan Malhotra,Clothing,Laptop,3,27352,Debit Card,Delivered,Delhi,Maharashtra,North,82056
10050,2024-03-30,2024-01-11,Rahul Mehta,Home Appliances,Face Cream,3,40775,Credit Card,Cancelled,Chennai,Delhi,North,122325
10051,2024-02-22,2024-01-06,Rohit Verma,Electronics,Headphones,5,57956,Cash on Delivery,In Transit,Bengaluru,Delhi,South,289780
10052,2024-05-09,2024-01-10,Rohit Verma,Electronics,Mixer,5,4933,Cash on Delivery,Delivered,Hyderabad,Karnataka,South,24665
10053,2024-03-24,2024-01-09,Sneha Kulkarni,Electronics,Laptop,1,17604,UPI,In Transit,Delhi,Telangana,South,17604
10054,2024-04-01,2024-01-12,Priya Nair,Clothing,Shirt,3,46846,UPI,Cancelled,Bengaluru,Maharashtra,West,140538
10055,2024-04-20,2024-01-12,Amit Sharma,Clothing,Laptop,4,7308,Debit Card,Returned,Bengaluru,Telangana,West,29232
10056,2024-06-20,2024-01-07,Sneha Kulkarni,Electronics,Face Cream,3,48591,Credit Card,Returned,Hyderabad,Tamil Nadu,North,145773
10057,2024-01-08,2024-01-11,Priya Nair,Clothing,Headphones,3,27705,Net Banking,Cancelled,Chennai,Karnataka,West,83115
10058,2024-06-23,2024-01-07,Karan Malhotra,Beauty,Novel,5,36686,UPI,Cancelled,Delhi,Karnataka,West,183430
10059,2024-02-04,2024-01-10,Sneha Kulkarni,Beauty,Mixer,3,21127,Net Banking,Cancelled,Mumbai,Tamil Nadu,East,63381
10060,2024-03-21,2024-01-10,Neha Patil,Clothing,Headphones,3,33340,Net Banking,Delivered,Pune,Maharashtra,West,100020
10061,2024-06-12,2024-01-07,Karan Malhotra,Electronics,Mobile,4,60654,Credit Card,In Transit,Chennai,Tamil Nadu,East,242616
10062,2024-02-19,2024-01-11,Priya Nair,Clothing,Mixer,5,78843,Debit Card,In Transit,Delhi,Maharashtra,South,394215
10063,2024-04-13,2024-01-07,Amit Sharma,Clothing,Headphones,3,18457,Credit Card,In Transit,Bengaluru,Delhi,East,55371
10064,2024-05-11,2024-01-12,Priya Nair,Clothing,Shirt,2,35615,UPI,Cancelled,Delhi,Karnataka,East,71230
10065,2024-01-02,2024-01-06,Sneha Kulkarni,Home Appliances,Mixer,1,36232,Net Banking,In Transit,Pune,Maharashtra,South,36232
10066,2024-05-13,2024-01-12,Sneha Kulkarni,Beauty,Mixer,4,21464,Credit Card,Cancelled,Hyderabad,Telangana,South,85856
10067,2024-02-23,2024-01-08,Pooja Singh,Books,Laptop,3,14714,Credit Card,Delivered,Pune,Telangana,North,44142
10068,2024-04-15,2024-01-11,Amit Sharma,Books,Shirt,2,14627,Credit Card,Returned,Mumbai,Karnataka,North,29254
10069,2024-01-04,2024-01-11,Suresh Iyer,Home Appliances,Mobile,3,1246,UPI,Cancelled,Mumbai,Tamil Nadu,North,3738
